Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-lh65,branch-z4p6,Randomise questionnaire elements?,Question Key,Response
3,1664272027958,27/09/2022 09:47:07,1664272027565,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664272027958,27/09/2022 09:47:07,1664272027566,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,response-2,Violin
5,1664272027958,27/09/2022 09:47:07,1664272027566,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,response-2-quantised,2
6,1664272027958,27/09/2022 09:47:07,1664272027566,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,response-3,no
7,1664272027958,27/09/2022 09:47:07,1664272027566,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,response-3-quantised,2
8,1664272027958,27/09/2022 09:47:07,1664272027566,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,111216
1,1664272155266,27/09/2022 09:49:15,1664272154069,1,27/09/2022 10:49:14,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664272176281,27/09/2022 09:49:36,1664272175112,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,response-1,pen
3,1664272176373,27/09/2022 09:49:36,1664272175113,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,response-1-quantised,3
4,1664272176373,27/09/2022 09:49:36,1664272175113,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664272176373,27/09/2022 09:49:36,1664272175113,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664272176373,27/09/2022 09:49:36,1664272175113,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,response-3,no
7,1664272176373,27/09/2022 09:49:36,1664272175113,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,response-3-quantised,2
8,1664272176373,27/09/2022 09:49:36,1664272175113,1,27/09/2022 10:49:35,95307,26,questionnaire-44j4,,24265980,5fbea94117bb180684661d1e,7157914,,complete,,6332c3e8f18138da200f6c56,computer,Desktop or Laptop,Windows 10,Firefox 104.0,1920x1080,1920x927,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,21044
1,1664272577270,27/09/2022 09:56:17,1664272577652,2,27/09/2022 11:56:17,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664272587853,27/09/2022 09:56:27,1664272588311,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664272587927,27/09/2022 09:56:27,1664272588312,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664272587927,27/09/2022 09:56:27,1664272588312,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664272587927,27/09/2022 09:56:27,1664272588312,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664272587927,27/09/2022 09:56:27,1664272588312,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,response-3,yes
7,1664272587927,27/09/2022 09:56:27,1664272588313,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,response-3-quantised,1
8,1664272587927,27/09/2022 09:56:27,1664272588313,2,27/09/2022 11:56:28,95307,26,questionnaire-44j4,,24266084,6119264d37beb12c69eca7e1,7158013,,complete,,6332c3ea3ec4136916b35ef6,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1536x864,1536x711,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,10661
1,1664272607517,27/09/2022 09:56:47,1664272611591,2,27/09/2022 11:56:51,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664272695594,27/09/2022 09:58:15,1664272699705,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664272695888,27/09/2022 09:58:15,1664272699707,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664272695888,27/09/2022 09:58:15,1664272699707,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664272695888,27/09/2022 09:58:15,1664272699707,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664272695888,27/09/2022 09:58:15,1664272699708,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,response-3,yes
7,1664272695888,27/09/2022 09:58:15,1664272699708,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,response-3-quantised,1
8,1664272695888,27/09/2022 09:58:15,1664272699708,2,27/09/2022 11:58:19,95307,26,questionnaire-44j4,,24266090,611e2a711b31e24b7133813c,7157878,,complete,,6332c36d5655df52b219141d,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x800,1280x689,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,88117
1,1664272623254,27/09/2022 09:57:03,1664272624142,1,27/09/2022 10:57:04,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,800x360,723x280,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664272659350,27/09/2022 09:57:39,1664272660270,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664272659408,27/09/2022 09:57:39,1664272660272,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664272659408,27/09/2022 09:57:39,1664272660272,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664272659408,27/09/2022 09:57:39,1664272660272,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664272659408,27/09/2022 09:57:39,1664272660272,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,response-3,yes
7,1664272659408,27/09/2022 09:57:39,1664272660273,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,response-3-quantised,1
8,1664272659408,27/09/2022 09:57:39,1664272660273,1,27/09/2022 10:57:40,95307,26,questionnaire-44j4,,24266094,5ba8d1bc642146000183c033,7157967,,complete,,6332c3e60fe8527ab77e5035,mobile,Samsung SM-G781B,Android 11,Chrome 105.0.0.0,360x800,360x667,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,36132
1,1664279345155,27/09/2022 11:49:05,1664279345176,2,27/09/2022 13:49:05,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664279367266,27/09/2022 11:49:27,1664279367368,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664279367509,27/09/2022 11:49:27,1664279367370,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664279367509,27/09/2022 11:49:27,1664279367371,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664279367509,27/09/2022 11:49:27,1664279367371,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664279367509,27/09/2022 11:49:27,1664279367371,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,response-3,no
7,1664279367509,27/09/2022 11:49:27,1664279367372,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,response-3-quantised,2
8,1664279367509,27/09/2022 11:49:27,1664279367372,2,27/09/2022 13:49:27,95307,26,questionnaire-44j4,,24267764,615aff05691d41b8ce734ca0,7158761,,complete,,6332c7b81c8800922bef23fa,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x754,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,22196
1,1664277988955,27/09/2022 11:26:28,1664277988852,3,27/09/2022 14:26:28,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664278006662,27/09/2022 11:26:46,1664278006588,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664278006746,27/09/2022 11:26:46,1664278006590,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664278006746,27/09/2022 11:26:46,1664278006590,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664278006746,27/09/2022 11:26:46,1664278006590,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664278006746,27/09/2022 11:26:46,1664278006590,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,response-3,yes
7,1664278006746,27/09/2022 11:26:46,1664278006591,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,response-3-quantised,1
8,1664278006746,27/09/2022 11:26:46,1664278006591,3,27/09/2022 14:26:46,95307,26,questionnaire-44j4,,24267463,5fa23c9b64b18a4067cc842e,7158683,,complete,,6332db37368342654da877d6,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 105.0.0.0,1440x900,1440x724,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,17740
1,1664276629567,27/09/2022 11:03:49,1664276629024,2,27/09/2022 13:03:49,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664276699592,27/09/2022 11:04:59,1664276668749,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,response-1,pen
3,1664276699592,27/09/2022 11:04:59,1664276668753,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,response-1-quantised,3
4,1664276699592,27/09/2022 11:04:59,1664276668753,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664276699592,27/09/2022 11:04:59,1664276668754,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664276699592,27/09/2022 11:04:59,1664276668759,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,response-3,no
7,1664276699592,27/09/2022 11:04:59,1664276668760,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,response-3-quantised,2
8,1664276699592,27/09/2022 11:04:59,1664276668760,2,27/09/2022 13:04:28,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,39736
9,1664276830605,27/09/2022 11:07:10,1664276798825,2,27/09/2022 13:06:38,95307,26,questionnaire-44j4,,24267111,5dafea4de40355001651fa2f,7158560,,complete,,6332d4327f64f73e58573db0,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x625,,final questionnaire,1,continue,continue,No,,Unexpectedly long close out at end of task!
1,1664276063088,27/09/2022 10:54:23,1664276063028,2,27/09/2022 12:54:23,95307,26,questionnaire-44j4,,24266992,5c8bafb53b6f3d00013d7c30,7158542,,complete,,6332cecbb31b165a14a28a98,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x1007,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664276197077,27/09/2022 10:56:37,1664276196992,2,27/09/2022 12:56:36,95307,26,questionnaire-44j4,,24266992,5c8bafb53b6f3d00013d7c30,7158542,,complete,,6332cecbb31b165a14a28a98,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x1007,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664276197185,27/09/2022 10:56:37,1664276196994,2,27/09/2022 12:56:36,95307,26,questionnaire-44j4,,24266992,5c8bafb53b6f3d00013d7c30,7158542,,complete,,6332cecbb31b165a14a28a98,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x1007,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664276197185,27/09/2022 10:56:37,1664276196995,2,27/09/2022 12:56:36,95307,26,questionnaire-44j4,,24266992,5c8bafb53b6f3d00013d7c30,7158542,,complete,,6332cecbb31b165a14a28a98,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x1007,,final questionnaire,1,continue,continue,No,response-2,Watch
